0,1,2,3,4,5,6,7,8
1,5,0,2,7,8,11,9,6
1,397,2,4180,133,4,35,28,0
1,1203,10,28,4405,2,742,5,0
3065,3066,3067,3068,3069,3070,3071,1,2
0,7,2,1,40,5,4366,51,454
2,5,1,13,0,7,24,43,12
0,5,39,92,2,53,6,1092,316
2,0,4436,57,11,52,4157,24,8
2,1252,1444,28,88,3,0,51,774
3664,1071,0,51,395,112,429,4409,4150
2,1787,35,79,750,128,93,4246,5
5,1109,333,1787,0,2,342,28,585
4301,6,28,34,3,764,2,167,0
1108,130,62,498,4464,1753,104,900,228
0,2,323,30,984,133,4,51,79
4198,67,27,79,668,787,569,780,1079
1551,308,11,322,4459,1277,440,8,30
2,9,81,4207,4405,801,379,0,2076
0,3032,8,6,62,1,23,30,1053
0,14,4,7,4380,436,448,2,9
2584,1108,2,1607,48,1781,2994,7,4451
3720,2005,2004,2006,60,7,388,1437,2
2,0,14,28,3,53,244,616,199
3606,48,249,5,2571,1065,4021,3,803
5,0,2,120,132,1418,918,71,302
15,3288,4458,5,386,87,477,11,1755
130,0,5,9,22,40,7,77,97
2,0,545,5,7,81,1040,1,1999
27,0,4435,2051,2001,1633,102,260,268
4463,4436,1,1004,4321,1750,71,229,3397
86,19,3723,399,553,271,554,570,85
