0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0.75220984,-0.5843308,-2.301071,-0.08012404,2.2304647,-1.0612185,-0.5380554,-0.6608678,-1.0571892,0.6440634,-1.0005405,1.3713281,-0.2283004,-0.32186145,-0.8560688,-1.361472,1.2205149,1.7764673,-3.6316023,0.03293874,-1.7294025,0.92217124,-0.69544035,0.03213404,-0.32076213,-2.4946234,-1.5500095,-0.8709667,1.9944048,-4.1637278,2.6366522,0.8031912,-0.5989441,-3.763899,-0.23242125,0.0313724,-0.50773066,-1.145801,-1.3024175,0.03941495,1.0426624,-0.3150578,0.011039748,-0.7779961,0.31774405,-0.96584636,0.041038807,0.3426523,0.1612672,-2.737907,-0.39901868,0.35772258,-1.4585594,-0.7843401,0.78299934,2.2158237,-0.81828684,3.0839486,-1.7292058,1.9805721,-1.7611082,1.8449372,3.0187435,-1.9682016,-1.1421697,0.73227596,1.4184278,0.08741271,-0.35254744,0.09369874,-3.2116745,-0.9040686,-0.37245747,0.044362087,-1.4624995,-0.8691241,-3.5867765,-0.7688068,-0.7302689,1.2635815,2.5486658,1.4437063,-0.9611764,-0.78419423,1.2927741,0.49875706,1.2692772,0.97776365,0.281035,-0.5272906,-1.5041211,0.6259749,-2.78791,-2.9344308,1.2659429,1.3156408,-1.0305212,0.47831354,1.8838733,1.468395,-0.5945749,1.512105,-0.40332425,2.0167744,-1.722215,-1.1465747,1.9734986,0.21775371,1.211907,1.6466103,0.53947544,-0.0078802435,-0.53495497,-1.5557821,1.3254299,0.8179807,-0.76749974,0.88735145,0.7370949,2.8577464,-0.43657163,0.9904901,-1.9693966,1.8398464,-0.94619375,1.4579297,-1.3909128,-0.15155686,3.0514083,-1.3897847,1.2713126,-0.14788531,2.0896175,0.37164617,-1.2432503,-0.56055653,-2.7211542,-1.6614588,-0.9764099,-1.4981287,-0.38348827,-0.22288384,2.1190941,-2.720952,0.1867525,0.40114418,-0.923169,1.0582141,0.3047321,-2.0811942,-1.9953682,1.4864118,0.7367345,-1.7870002,1.0128989,2.0616577,-0.1901691,2.0238214,-1.3009841,-0.66095173,0.9239982,1.7061617,1.5222998,-0.44086334,-1.6215452,-0.047794588,-0.25772858,-1.2037791,0.03943654,0.014983684,-0.44120324,-1.1533834,1.0142274,0.15179133,2.5511284,-0.6700889,0.67904574,-3.482382,0.3349925,-0.65056175,0.83323824,1.2849367,-2.2593844,-0.67043185,-1.2890931,1.1457732,-2.1026025,-0.019019146,1.0677909,0.27222443,-1.8427101,1.2626301,-0.7448458,2.3094857,-2.6152031,1.0978211,2.0266333,-1.9212884,1.0916816,1.5145533
-1.9917636,-1.5931754,1.153013,0.18874839,0.6819176,-0.9729104,-0.10867246,-2.0213745,-0.35215914,1.5079253,-1.366182,0.80906343,-1.7859203,-1.0749425,0.05688043,2.8996134,-1.827775,-0.8857239,1.0584235,0.28476915,-0.36234027,-1.6241821,-0.20877068,1.4981576,0.5094102,-0.4231004,-1.4205304,1.0804886,-1.7173057,-0.47567293,0.11348341,-1.2597029,1.7692729,-1.5473751,-0.8080689,-0.57744724,-1.3605193,-2.157505,-1.1588378,-1.5179864,0.5978043,1.6064216,1.049734,-0.69246536,-1.8730716,-0.22953275,-0.027567776,0.33048764,-1.2959099,-1.8413622,-3.15899,-0.061029777,-1.445176,0.20113486,-0.61873007,0.6504433,0.77692276,-0.7560152,-0.7418752,1.6226633,0.8860552,1.9615223,0.8998894,0.1997959,0.10430512,0.93555444,2.3600502,0.6985528,0.12506554,-0.59303313,-1.3538271,-0.5641705,-0.23519047,0.20727864,1.6912977,-1.7333363,-2.5517948,0.34032068,-0.6694464,-1.3001955,-0.66767514,-0.12243861,-0.29581797,0.77953833,-0.30399466,0.93705326,1.0092118,-1.0608089,-1.9038317,-0.1387052,-1.8617657,-0.9196993,-2.5800214,0.016387759,0.90948087,2.896755,-1.4113985,0.15642624,0.53630817,-0.24733792,-0.42651957,1.2186347,-0.41400704,1.1729996,-0.55246943,-1.7328348,0.6824387,2.559821,1.9040604,-1.5390404,0.046879746,-2.240077,2.639267,1.3366566,1.7312053,-1.5587363,-0.5307364,-0.087067544,1.4826778,0.936513,0.12580022,0.3084313,-0.3274475,2.422156,-0.3895974,1.1589433,-2.7410846,-1.4856259,1.2374793,-1.5599737,-1.0330988,0.55876374,0.8578089,1.8844405,-0.5682203,1.1558841,-1.3978243,-0.30569986,-0.597897,-1.4659605,0.2859381,0.71894956,-1.5527426,-0.31638286,0.75554955,-2.7056737,-2.3235424,2.778468,-0.92772615,0.57553947,-2.1102464,2.212146,-0.7196458,-0.06384833,-1.5498314,-0.6175968,-0.6259103,0.87200594,-1.6227877,-1.6901237,0.9352764,0.50685877,0.55962855,-0.2671753,1.61272,-1.3270452,-1.1480814,-2.7860675,-2.3686047,0.66208684,-0.23719974,0.9702506,-1.4307404,-0.78480035,2.5924146,-0.2470834,0.9312083,-1.3320876,-0.34504268,1.1752245,-0.10559613,-0.6811796,-1.5898603,1.2700081,-1.3669647,2.2142766,-1.3378259,0.53182626,-0.06877404,-0.6122321,-1.0622599,0.32907346,-0.14492875,0.19059299,-0.07934012,1.5785407,-0.121770695,0.9816194,0.82044464,-0.2499805
-2.5633934,-3.7976034,0.38918895,-1.2054592,1.1229813,-0.2665229,0.023066904,-1.9330187,0.45709315,1.7555355,-0.5237408,0.74718237,-0.545478,0.25632825,1.3958839,-0.07087146,0.16014346,1.4595312,-1.1255926,0.07676695,-2.5576944,0.6007614,1.5562992,-2.0098114,-0.9044371,-0.15701087,-0.12698151,-0.31636974,-1.9793074,1.485776,0.5799792,-0.07060321,-0.57809913,-1.5977889,-0.006335592,0.6472983,-1.8485842,-1.2749189,-0.23286423,-0.6656525,-0.08454567,0.82943535,-0.5022687,-1.1256632,-1.2972876,0.19502339,2.2862816,0.6792087,-0.2893509,-0.9244744,-0.53414613,-2.1619232,-0.21329343,1.0670111,-1.2360989,-0.95248014,0.793233,0.25778094,-1.4456007,0.97599375,-0.124096006,1.686939,2.5644784,-0.06394275,0.42718184,0.29133642,1.4528137,2.7596264,1.1306543,0.6116165,-0.5643288,-1.0215197,-1.262278,-0.48343706,-1.0351632,0.99612355,-0.3812204,-1.8552204,-1.051493,-1.9615617,0.76690173,1.1356827,-1.734745,-1.1166214,0.5871715,-1.0289344,1.3264779,-0.51136047,-2.665355,1.9107287,-0.20236844,0.35083008,-0.5180629,-3.5114813,0.24000981,1.792488,-2.5745955,1.2653503,0.25742522,1.3708653,-1.9562744,-0.36605337,0.07363771,0.71615076,1.2651621,-0.34590155,0.07570702,1.2796372,-0.5839123,1.390359,-0.93886757,-0.7000477,1.8206453,-0.88230306,0.6012649,0.18117814,0.09885062,2.265659,0.2568967,3.78636,-0.5453023,-0.67780346,-2.5162494,1.3286017,0.43007833,-0.63611454,-2.018695,-0.99436474,-0.18274553,-1.6313226,0.9292048,2.1764972,0.2289143,2.0083039,0.91573346,0.49499518,-0.2700016,0.67260706,0.085880704,-0.21533427,-1.5924135,-1.4819839,0.24760005,-0.9244506,1.758503,-0.74874043,-1.1629152,0.18213974,-0.0065780818,0.08168966,0.13847242,3.2528932,-0.62111706,-0.04473132,-0.4963264,1.822455,-0.6288288,1.602041,-0.6293255,-0.8475266,2.0749245,0.79576385,-0.81046945,1.4918469,1.2989316,-1.2388157,-0.40806964,-1.0283797,1.6429517,-0.10909164,-2.4953704,0.7194004,-2.7852256,0.6603975,2.5172508,-0.8511446,2.666206,-2.246714,-0.18031077,1.6486537,-0.04002267,-0.77402943,-1.9413149,1.4968368,-2.9150987,2.764901,-0.9096158,-0.88626134,0.17186353,-0.34707308,-0.50301945,-0.4334996,-2.0157013,-1.1260816,-0.10842729,1.5679702,0.35959336,1.2543573,1.1184818,1.6754478
-3.0735223,-2.925889,0.33229324,-0.60253817,0.6926503,-0.44126004,-1.8929121,-1.8960797,-1.6447406,1.2237059,0.63981205,-0.5623483,-0.31786743,1.1450858,-1.1777959,1.4643061,1.5034528,0.2644949,1.2075357,-0.7837988,-0.887386,-0.6786529,1.5945535,0.44317874,1.6109115,-1.3889712,-0.6585957,1.4127518,-1.3530146,-1.0511286,0.28260475,0.09950366,-0.03947195,-1.9300508,-0.010742994,0.1050199,-1.3057139,-0.8403051,0.1986744,-0.68230057,0.56453097,0.54357606,0.88884646,-1.6895155,-0.124994405,-0.7682198,0.22556312,1.0245191,-0.43635565,-0.53340614,-1.2239672,-1.1963947,-1.9211512,-1.3811088,-0.49192992,2.511655,1.3505882,-0.4619538,-0.4824976,2.4359274,1.2411823,2.897056,0.8574394,1.8864752,-0.49298534,1.2930863,2.263597,2.2806478,0.967495,-0.19167587,-1.0425897,-2.9398077,-0.8703806,0.94966364,0.80876595,1.6107284,-1.8260773,-0.19289891,-0.19609074,0.46322837,-0.384424,-1.0962392,0.00355625,-0.040803555,-1.2683551,2.132395,-0.7996674,0.078232296,-2.059576,0.12592761,-2.224539,0.5730191,-3.623212,-2.1711097,1.6830709,0.7077184,0.07736292,-0.66382784,1.198286,2.0512567,-0.603838,1.3499182,-0.43673065,1.5280143,-1.8794549,-1.1034702,0.68397117,2.0965798,1.3622904,-1.2432662,0.59415233,-1.822613,-0.2183799,0.6361688,-0.08010932,-1.3268292,-2.0374062,1.4862919,-0.42343736,1.0602058,-0.5589849,0.13335185,1.6166024,1.2283165,-0.4574589,2.106745,-2.2090662,-0.15461472,2.0766208,-2.1711671,1.7494168,0.8511006,0.06295067,2.6323738,0.010102388,2.0482786,-1.4916718,-1.6048974,0.7124727,-0.7473736,1.1265687,0.10846399,-0.37243995,-0.8694595,1.2184712,-0.08311678,-1.3592466,3.769817,-3.2267315,-0.1985576,-1.0698384,2.3847508,0.13979156,0.06313271,0.97682375,-0.10644576,-1.0629303,-0.67786694,-0.43802544,-0.38970253,1.4823942,-0.590655,1.0769773,0.22928922,1.374391,-0.71612084,0.030977774,-1.452929,-1.9585994,0.7569344,-1.607356,-0.080119975,-1.9530345,-1.3412557,0.62796706,1.3823543,4.305557,-0.8081275,-0.78209937,0.9521286,0.49422163,0.705171,-1.396017,-0.19356796,-0.30921265,2.7428236,-2.0563498,0.15304449,-0.42019963,-1.4508964,-2.976616,0.8444474,-0.727074,0.8996342,-0.28388098,1.8344359,0.18358399,-0.7004338,0.34608272,0.39329338
-2.6151903,-0.7588651,0.6026189,-0.7295874,1.3567668,1.2146842,-0.21813913,0.741076,-1.5555829,0.7707873,0.09923771,1.0493816,-0.2992603,-1.1472958,-1.6303433,-0.7000083,-0.6364652,0.41327325,-0.36398354,-0.12634708,-0.16167644,-0.3851358,0.59191173,1.6095662,0.9133885,0.072498076,-0.48229393,0.5171028,-0.5905209,-1.3450937,-0.21887454,-0.010443865,0.4953767,0.042958487,0.8846018,0.10974176,-1.9995741,-1.6339648,0.17317206,0.6387349,-0.0901383,1.3805571,0.30853286,-0.49395546,1.3885511,-0.6838994,0.5434159,0.78674275,-1.3208816,-0.69964576,0.3709134,-1.6864926,-1.9053426,-0.9298221,-1.7621013,1.1814089,0.86387175,1.6180451,-0.21778429,0.9025221,2.3474717,1.1317638,0.3750225,1.0097786,-0.11592844,0.4917437,0.9199783,1.4334993,-0.5062474,-0.688603,-1.4763241,-0.97797364,-1.7179756,-1.408723,-0.18505801,1.8551388,-2.086564,-2.3070087,-1.052059,-0.9681088,-0.5376626,2.1914163,0.5674071,-0.9744549,0.3441397,0.51295197,-0.6934193,-1.100033,-1.1227083,1.5576575,-1.9519281,0.5835726,-2.5293307,-0.8166365,1.359959,1.9171621,-1.3477645,0.37004623,1.9040523,-1.7997804,-1.1260179,0.9053476,-1.9163789,1.1549836,0.3801904,1.7632658,0.28586414,1.0314223,0.40045926,-0.77433634,-0.008366332,1.0270661,-0.09411505,0.15102337,-0.3618482,-1.4751842,0.5334796,0.08873949,0.86710703,1.2149552,0.66958505,0.5919386,0.74980164,0.16248322,0.08380029,-0.12577994,-0.1852383,-0.6709717,-0.66081226,-2.9672363,2.0046115,1.2382115,0.98061174,3.0786157,0.2430775,0.41670528,1.7030227,-1.2528014,-1.3418813,-1.5879068,0.45184663,0.3546085,1.0016259,0.5914651,-0.5947192,1.1196036,0.6360022,0.9447194,0.25341645,0.28369424,-0.37145567,2.7905517,-0.2086386,-0.72075564,0.6100616,-1.4629465,-1.6906445,2.016406,-2.55338,-1.5550107,2.6937864,1.6595049,-1.164209,-1.3575425,-0.02892876,-0.8648851,0.22013639,-0.12623586,-0.4135726,1.6582998,0.25203717,-1.4516163,-3.262755,0.7076342,0.84293085,0.60344505,1.6782548,-1.2431618,0.8685996,0.072236724,0.040723972,1.5822778,-1.8746908,0.6617444,-1.8553278,0.946655,0.100277916,-0.113064125,0.1404145,0.43837667,-1.2531843,-1.6127839,0.16262425,1.9361802,-0.18599772,2.5672596,-1.5226544,-0.08530959,-0.12841585,0.7114413
-2.550987,-1.442671,0.62906075,0.026654765,-0.5734454,-1.1357158,1.1089737,-1.4802605,-0.26171714,-0.2932355,-1.3816608,0.3767196,-1.5644705,0.4560645,0.02401101,2.1566439,0.6645015,0.71202487,-1.120648,1.0700185,-1.1382717,-1.060746,-0.7879802,-0.123942226,-1.1348963,-0.65300274,-1.3482727,-1.0201001,-1.7153128,-0.54642135,0.63434434,0.094176404,0.23582557,-0.7359796,-3.2001476,0.020675959,-0.991366,-2.7012482,-0.60774875,0.14923264,0.17345458,1.408758,0.24709615,-1.2580931,0.50439245,-1.5541434,0.2406539,-1.0141956,0.84285843,0.10047752,-0.6413989,-0.21094988,-1.9423507,-0.76753664,1.0446651,2.2676263,-0.56452787,0.9317647,-0.30946586,0.28940895,1.4670312,3.5588691,1.2791167,-0.5361067,-1.2984445,0.22211382,1.5277569,0.45343873,3.0376039,0.8016932,-3.2201855,-0.3115555,-1.0594547,1.0716616,-0.31636074,-1.2782885,-3.240627,-1.0542068,-1.1833918,-0.9172142,-0.8735183,1.3793614,-1.1567738,-1.6582642,-0.35491392,2.3143542,0.10541786,-1.281263,-1.7110687,-0.118900664,-0.75912416,1.3975286,-1.069719,-1.8205262,0.76136196,0.52805126,1.3389897,-0.42026612,1.2404428,-0.025203727,-2.1782014,-0.24101652,-0.13902023,2.575851,-0.16463235,-0.54055727,-1.9116518,2.1614046,2.5336995,-1.1422762,-0.6785609,-0.93738544,-0.3850096,-0.07665776,2.2517834,-2.5521379,-0.15495762,-0.9706298,0.16757177,3.0632253,-0.19909395,-0.05643179,-1.0493056,0.49000826,-1.3681034,0.81117976,-1.6402204,-0.9100187,1.4091686,-1.3911659,1.243557,0.2103886,0.07539723,1.2564148,-1.0580958,-1.2154177,-1.4288954,0.6095986,0.115757674,-1.2113638,1.0868654,-0.08872945,-0.42883688,-0.6894611,0.24330285,0.7576896,-1.3222616,4.2358904,-0.9819938,-0.6413188,-1.4198068,2.3399553,0.88748956,-1.0049639,-1.0049629,-0.16137531,-1.9168273,-1.5018309,1.5944123,-1.1282266,0.1139389,1.0940514,-1.4523427,-0.8137488,0.22459777,1.1717188,-1.4377255,-1.9923213,-2.4623485,1.2608337,0.82735896,-0.8848842,0.7810098,-0.015037427,1.6719168,2.0645218,1.802077,-1.0085543,-0.69377637,2.088855,-0.5952881,-0.344395,-1.5987526,0.19610679,-0.6200342,2.3367186,-0.8539713,0.26787078,0.47162452,-1.287692,-2.0896258,1.5685807,-1.210753,0.3820381,-0.5524876,-0.08242142,1.7438757,-0.37431705,0.13326146,0.37973306
-3.0249887,-2.5482998,-1.535306,0.067600474,0.35116622,1.5088553,-1.1137357,-1.3305362,0.480453,0.8301536,0.34072557,0.8589809,-0.7643274,-0.6362472,1.1425815,-1.4857094,0.53432125,0.66451925,-0.15607285,1.7664927,0.27802166,-1.2030286,0.58762413,1.0380194,0.834082,-0.23714624,0.5847516,0.12637885,-0.7880202,-0.25952366,0.27531,1.247039,-1.0193598,-2.0744371,0.16949934,-0.18202281,-0.91348857,-1.2252588,0.23071519,0.5023295,0.51946914,-0.19330928,0.5716486,-2.6887534,-0.5470298,-0.7534425,-0.41862103,0.32139048,0.16624866,-1.7992522,-0.6522958,-0.09525234,-0.8115811,0.19920105,-0.9314089,1.4358487,1.1667364,0.5590337,1.1682016,1.5029445,1.1006763,0.8083762,0.9924494,-0.4126193,1.8417476,0.39272475,1.7789793,2.159053,1.713052,0.16446665,-1.414107,0.63802236,-0.87044364,-0.53112286,1.668226,-0.17722559,1.5317453,-0.52206296,0.5705548,1.2511266,0.6222545,1.6449224,0.96863276,-0.3406384,0.00633217,1.3472707,-0.9596931,0.6112262,-1.1542841,0.32019186,-1.4575895,-0.6963365,-2.391829,-1.0379972,-0.22027001,3.1319537,-1.7182088,0.43269283,1.7204292,-0.17819874,-1.085576,0.48631993,-1.480357,-0.25145045,1.6162146,-0.25164723,0.73552006,1.1897993,-0.3803304,-1.5358964,-2.5829425,-1.6911002,2.1379797,-0.7803907,1.1226486,-1.861602,-2.1923544,-0.23758014,0.94298375,3.9747994,1.0857157,1.0179758,0.13737054,1.923158,0.40651584,-0.47651097,-1.115635,-0.4079464,1.4731684,-4.1437755,1.4979858,0.71683323,1.1179664,1.0484546,-0.04089697,1.2412353,-0.05293799,-2.192675,-0.21864869,-1.5367627,1.8703762,0.4888591,0.82605207,-1.4065858,-0.17619826,-0.29107985,1.4033762,0.6884975,-1.5357382,0.057044502,-0.3503508,2.7354379,1.4228455,-1.1621134,-1.0201911,-0.77592695,-1.1131022,2.4418871,0.088591,-0.7542821,1.0343955,2.6751354,1.4879411,0.076892994,-0.2836315,-0.88222367,-0.83592504,-2.636526,-1.1144915,-0.30552903,-1.3113195,-0.92371804,1.0190516,-2.1048157,0.3658363,-1.4565253,3.4954174,-2.0376523,-2.6820085,0.223921,1.8908588,0.39580625,-0.016674891,-0.0037388955,-0.8350575,1.616201,-1.3431516,0.863569,1.4062454,-1.6308236,-2.3014743,0.9994698,-0.32759616,0.44393846,0.69278747,0.7254647,0.98433536,-0.8526766,0.31315532,0.6563098
-0.6984505,0.3524183,-0.30640465,1.4256341,1.7647305,-0.45659414,1.5868552,0.52510035,0.015005718,1.3396484,0.4047273,1.1419488,0.6765456,-0.47740325,-0.5691405,-0.5414672,-0.58825886,1.5497427,-0.709087,-2.5730371,-1.8146923,-2.2662773,-0.4812114,0.55442053,0.8912319,-0.19660942,-0.8841854,-1.4327248,-0.10026799,-0.12652327,-1.3229091,1.3525991,-0.1991553,-1.0103498,0.6587902,0.10228384,-2.1577466,0.73247397,0.3328223,-1.0368966,1.1320093,0.98697984,-0.10090324,-1.6135381,0.019126626,-0.5395367,-0.5950632,-0.19699958,0.09340895,-1.2029763,-0.03473008,0.27873674,-0.84385276,-1.7306707,-0.15137716,2.1955357,-0.365086,0.47145715,0.17295444,0.35692292,0.43757215,1.6882224,0.5261397,0.3499477,-1.459179,-0.61723393,0.39594385,0.29570588,0.044477284,-0.16252169,-1.4424108,1.2523116,-2.312719,-0.5775805,0.718869,1.8413919,-0.4687796,-1.8586708,0.7678681,-2.4769804,-2.6184134,0.005650487,-3.978828,0.8365308,1.8203579,2.5636418,-0.84505045,-1.0719811,-1.4963307,0.82695377,-2.5902681,1.9125742,-0.7678875,-2.6163917,0.98871094,2.0324502,-0.64035565,0.9135243,0.5654315,-0.28315815,-0.8659845,1.0919704,-1.4295346,0.64923745,-1.154874,-0.052506518,-0.9824532,1.0354067,0.73551255,1.5606246,-2.2592168,-2.7487397,-0.79086167,-1.5985392,1.0865579,-0.98888,-1.4666342,0.52923584,-0.12182537,0.5591166,0.96195936,1.5491892,-0.74877125,0.89185834,-0.77933496,0.928768,-1.177666,-0.5142098,2.332486,-1.5582106,-0.3170189,-1.681498,-0.85038686,1.8645737,1.0275074,-0.6951495,0.73285854,-0.521419,-1.5198846,-1.3725706,1.3878189,0.03386066,-1.7767986,0.76189286,-0.3642343,-1.0540195,0.27827948,-0.303693,-0.103856,1.6178075,-0.19758788,0.09411222,-0.13979611,1.3397024,0.16451572,0.6719227,-2.4670846,2.1069438,-0.18730146,0.44915402,1.8831265,0.86809987,-1.7556639,0.73946124,1.5226859,-1.975913,-0.066647634,-2.808644,-0.6742445,-1.2029759,-1.4155498,-0.13693835,0.3844105,-0.22017162,2.3190339,-1.6923736,1.0372764,-1.3776652,-2.1981168,0.9738818,-0.27207157,2.1872654,-1.3725868,-0.09420798,-0.5375775,2.3915074,-2.2905805,-0.2575085,1.3093151,0.8223374,-3.120326,0.5881141,-0.72719204,1.112334,-0.35141453,0.8021469,-1.73731,-0.4736952,2.0606203,1.3512858
-1.3194277,-2.8210742,0.018170683,0.4979388,1.4685458,0.19850834,0.41665387,-0.4568477,-0.7165013,0.081068516,-0.18707639,0.055755176,-0.040667236,-1.3070961,0.7316094,1.0658958,0.4591036,-1.1414784,-1.2542323,-0.022987245,-1.430319,-0.92179424,0.62706274,1.454247,1.1600629,-2.0581057,-0.41184428,-0.32037875,0.06987448,-0.55369943,2.208291,1.3379378,0.5235456,-1.0049317,-0.14037745,0.18958393,-0.38810083,0.5620913,-0.32928634,1.0133606,-0.73270154,1.8086034,0.040203363,-1.500623,-0.15701659,-0.36818397,-0.6571339,1.8429943,-1.2248758,-2.1520128,-1.2916363,-2.003826,-0.5986566,-0.42428076,-1.269176,2.7825296,-0.7633962,0.38941026,-0.2297182,1.5522873,0.43225077,1.4407697,-0.17809507,1.1597328,0.9829415,0.5859994,0.58028346,2.3806202,0.6137478,0.011308833,-1.7289548,-1.4045377,-2.5620584,0.049729947,-1.0691462,1.3286605,-0.90991086,-1.8805571,-1.2937672,-1.4832312,1.0937549,1.873282,-0.70144856,-0.15236424,0.5336264,1.7328681,1.5849473,-0.36769974,-0.8396966,2.170395,-1.0105697,1.4720849,-3.3801587,-0.046733774,-0.23949036,1.394065,-0.7333235,0.23151676,2.458558,-0.5040274,-0.09168813,1.8208658,-1.0239302,0.7403239,-0.0111169275,-1.5792494,-0.09202335,1.6235315,-0.49407718,1.2101566,0.6251322,-0.9543415,-1.5379148,0.31271976,2.2406936,-2.3439944,-1.2200096,0.06789365,0.99837655,0.81344104,-0.3004093,1.3380668,-0.2583354,1.9778336,0.5345897,1.4172307,-3.222972,-1.0774366,-0.109390415,-3.8288672,-1.750716,-0.02441212,2.196954,3.6779552,0.44551685,-0.11928229,-0.42900935,-0.6505002,-0.29969567,0.5284464,0.74116296,-0.1163986,-0.94804657,-1.9417504,-1.2516085,0.46697465,-0.58826846,1.3903825,-0.74662286,-0.25529566,0.22989735,1.7251954,0.29917216,0.5145807,-0.702205,-1.1242901,-1.5183802,2.8325448,-1.6041896,-1.1093966,2.8163624,1.3568326,-1.5038085,-1.1000955,1.8529892,0.6438404,-1.5209578,-1.7039614,-0.55316,0.30880615,-2.1479957,-1.772715,-0.7215059,-0.7905512,1.9716845,-0.12418057,1.4847922,-1.0919064,1.006908,0.6632048,0.32047227,1.1692717,-0.8255389,0.6759097,-0.9374167,0.7576968,0.034367017,-0.8773375,-0.7609022,-0.7787664,-0.8954268,2.060087,-0.17870824,-0.9962007,0.12110582,0.008399685,0.11567941,1.9403143,0.1749296,0.52843195
-0.41467682,-2.5953066,-0.89495814,-0.70117104,0.5240316,0.032736085,-0.2598292,0.87929326,-0.5497364,0.7238846,1.5854343,-0.8379299,0.032081682,-0.22353347,0.13030332,-0.43677172,0.10657613,0.668601,0.2571499,-2.0362613,-0.81439567,-2.0008705,-1.565042,1.9431955,-0.016493263,-1.1053609,-0.41152167,-0.035722494,-0.9726328,-0.3622017,0.101579085,-1.0761224,-1.3891379,0.45057818,0.93925923,-0.5931812,0.63633066,-1.0885092,-0.7628563,-0.9929667,0.6066761,-0.031533275,2.6849532,-1.2859607,-0.5131034,-2.3198025,-1.0191845,-1.0520085,1.4126478,-0.051401254,-1.3495628,0.81180686,-1.3850527,-0.7385084,-1.6314518,0.34590206,2.5479076,2.639116,-0.024983525,-0.8974378,0.7671451,2.0146713,2.2417672,0.8448231,0.36796325,1.394379,2.3873842,2.8784647,-0.37447616,-0.10597732,-0.4055265,-0.4321975,-0.93485934,1.2407653,-1.5025214,-1.8215371,0.001602537,-3.4208612,-1.452265,1.1639404,0.2889025,0.68769807,-0.9091815,-1.3230981,0.4635258,0.9924287,-1.6453587,1.3717641,-1.9991411,0.8243686,-1.5427278,-1.3868628,-1.5813264,-1.1686807,1.5271751,2.3765576,-0.6322937,-0.80574083,1.0030118,-0.06874562,-2.409482,-0.49680364,0.5011417,1.0178566,-0.075414404,-0.41932535,-0.16455594,1.6757447,1.6709032,-0.47920373,-0.7961181,0.43615878,-0.15557256,-0.7169709,0.7769519,-0.18076362,-0.41020006,0.44758856,-0.42360651,1.9966674,-0.2468733,-0.78516287,-1.3021928,2.7767727,-0.47768894,1.4974561,-0.44198635,-0.9396517,1.1501602,-0.70234317,1.960964,0.27061257,-1.3822362,2.4894416,0.11806542,-1.9783919,-1.1228766,0.39265287,-1.4636544,-0.5746895,1.810007,0.98018587,0.9924307,-1.5257558,-0.6916103,-2.0276139,-2.0646567,-0.25786415,0.073222965,1.4937301,-0.8957364,0.3133055,-0.45950776,-0.12895752,-0.9346272,-2.1549366,-0.10244946,2.6335037,-1.8958875,-0.53774804,2.2908518,1.8037531,-0.017235951,0.9837711,1.3790946,0.05577323,0.7508628,1.1979446,-2.295037,1.4408284,-2.2911239,-1.5518166,-1.8658205,1.417636,1.1996249,2.0422173,1.1412512,-1.9076542,-1.4190286,-0.268747,0.80593985,0.6980518,-0.92560035,-1.9896637,-2.2132244,3.3505032,-2.1848392,-0.32449657,1.806078,0.1582597,-1.6512517,-0.33462107,-0.32710448,0.9506428,-1.4788359,0.76200855,0.098104395,-0.69131356,-1.223567,0.93242913
